scholarship_id,new_deadline,new_status,what_to_do,award_value_tier,scholarship_name_th,scholarship_name_en,funder,level,deadline_raw,application_url,notes
TD-0007,,,เปิดลิงก์ ถ้ารับตลอดให้ใส่ new_status = Open,full_ride,กองทุนเงินให้กู้ยืมเพื่อการศึกษา (กยศ.),Student Loan Fund (KYS),กองทุนเงินให้กู้ยืมเพื่อการศึกษา,Multiple,Rolling annual (varies by institution),https://www.studentloan.or.th/,
TD-0029,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,full_ride,ทุนรัฐบาลเกาหลี GKS,Global Korea Scholarship - Undergraduate (GKS-U) 2027,รัฐบาลเกาหลี,Undergraduate,~Sep-Oct 2026 (embassy track),https://www.studyinkorea.go.kr/en/scholarship/gks_info.do,
TD-0033,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,full_ride,,KAUST Fellowship / Global Fellowship Program,King Abdullah University of Science & Technology (Saudi Arabia),Multiple,Rolling (Fall 2027),https://admissions.kaust.edu.sa/how-to-apply,
TD-0039,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,full_ride,,MBZUAI Scholarship,Mohamed bin Zayed University of AI (UAE),Multiple,Rolling (Fall 2027),https://mbzuai.ac.ae/study/graduate-admission-process/,
TD-0068,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_ride,ทุนประกายเพชร,BU Diamond Scholarship (Prakaiphet),มหาวิทยาลัยกรุงเทพ,Undergraduate,Cycle-based (recheck),https://www.bu.ac.th/th/scholarship/54,
TD-0080,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_ride,,Chulabhorn Graduate Institute Scholarships,สถาบันบัณฑิตศึกษาจุฬาภรณ์,Multiple,Varies,https://www.cgi.ac.th/admissions/cgi-scholarship/,
TD-0086,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_ride,,MFU Boon Rawd Scholarship 2026 (Master's),มหาวิทยาลัยแม่ฟ้าหลวง / บริษัท บุญรอดบริวเวอรี่,Master's,Recheck (AY2026),https://mfu.ac.th/news/news-scholarship.html,
TD-0312,,,ต้องเสนอชื่อ/คณะกรรมการ — ถ้าไม่มีรอบเปิด ปล่อยว่างไว้,full_ride,,PMSF Sirindhorn Royal Research Scholarship,มูลนิธิสมเด็จพระเทพรัตนราชสุดา,,Committee-based (requires research proposal),https://pmsf.or.th/,"Selective, committee-evaluated (not open competition). Full support, no repayment. Applicants need a research proposal."
TD-0313,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_ride,,EEF Phra Kanittha Sammachip Scholarship (Royal Occupational Excellence),กองทุนเพื่อความเสมอภาคทางการศึกษา (กสศ.),,Annual (varies),https://www.eef.or.th/fund/true-potential-scholarship/,"For advanced-vocational (ปวส.)/associate-degree graduates with excellent records in First/New S-Curve, digital tech, STEM; household income below threshold. Full tuition + living + equipment + research support. From EEF (กสศ.) roundup page."
TD-0314,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_ride,,EEF Kru Rak Thin Scholarship (Teachers for Remote Areas),กองทุนเพื่อความเสมอภาคทางการศึกษา (กสศ.),,Annual (varies by institution),https://www.eef.or.th/fund/teachereef/,"Full tuition + accommodation + living + equipment; guaranteed assistant-teacher post in home community on graduation (must return to teach = bond). Household income ≤3,000 THB/person/month; residents of designated remote areas. Distinct from MHESI ครูคืนถิ่น. From EEF roundup."
TD-0315,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_ride,,"Royal Scholarship in Science & Technology (Princess IT Foundation, multi-university)",มูลนิธิเทคโนโลยีสารสนเทศตามพระราชดำริ สมเด็จพระเทพรัตนราชสุดาฯ,,Varies by university (Oct–May windows),https://www.princess-it.org/scholarship/,"Umbrella royal program placing Thai students at partner universities abroad: SUTD & NTU (Singapore), SKKU (Korea), USTC & Xi'an Jiaotong (China), Skoltech (Russia), University College Dublin (Ireland); plus summer programs at CERN, DESY/GSI, IceCube, A*STAR. SUTD node tracked separately (TD-0301). From educationlovers roundup."
TD-0017,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,full_tuition,,Berea College Full-Tuition Scholarship (International),Berea College (USA),Undergraduate,Apply early (Fall 2027),https://www.berea.edu/admissions/admission-information/apply/checklist-items/international-faqs,
TD-0018,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,full_tuition,,Bocconi Merit & International Awards,Bocconi University (Italy),Multiple,Aligned with admission rounds (2027),https://www.unibocconi.it/en/applying-bocconi/bachelor-and-law-programs/funding,
TD-0034,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,full_tuition,,Keio University Design the Future Award & PEARL Scholarships,Keio University (Japan),Undergraduate,Aligned with admission (Sept 2027),https://www.students.keio.ac.jp/en/hy/econ/pearl/scholarships/unique/apply.html,
TD-0058,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,full_tuition,,Waseda University Scholarships for International Students,มหาวิทยาลัยวาเซดะ,Undergraduate,Varies by program (2027 entry),https://www.waseda.jp/inst/admission/en/,
