host,is_funder_site,rows_affected,big_award_rows,example_scholarship_id,funders
chevening.org,y,2,2,TD-0020,รัฐบาลสหราชอาณาจักร | รัฐบาลสหราชอาณาจักร (FCDO)
daad-thailand.org,y,3,1,TD-0181,DAAD (Germany)
forms.gle,n,2,1,TD-0293,สำนักจุฬาราชมนตรี / สำนักงานคณะกรรมการกลางอิสลามแห่งประเทศไทย | มหาวิทยาลัยเกษตรศาสตร์
sbfi.admin.ch,y,2,1,TD-0047,รัฐบาลสวิตเซอร์แลนด์
you.ubc.ca,y,2,1,TD-0048,University of British Columbia | มหาวิทยาลัยบริติชโคลัมเบีย (UBC)
admissions.hku.hk,y,1,1,TD-0030,University of Hong Kong
apply.stipendiumhungaricum.hu,y,1,1,TD-0200,รัฐบาลฮังการี
connect.schwarzmanscholars.org,y,1,1,TD-0045,มหาวิทยาลัยชิงหวา
eef-scholarship.thaijobjob.com,y,1,1,TD-0124,กองทุนเพื่อความเสมอภาคทางการศึกษา (กสศ.)
erasmus-plus.ec.europa.eu,y,1,1,TD-0027,คณะกรรมาธิการยุโรป
eria.org,y,1,1,TD-1587,สถาบันวิจัยทางเศรษฐกิจเพื่ออาเซียนและเอเชียตะวันออก (ERIA) ร่วมกับกระทรวงสาธารณสุข แรงงานและสวัสดิการญี่ปุ่น
esteri.it,y,1,1,TD-0128,Italian Ministry of Foreign Affairs (MAECI)
ethz.ch,y,1,1,TD-0025,ETH Zurich (Switzerland)
future.utoronto.ca,y,1,1,TD-0037,มหาวิทยาลัยโตรอนโต
grants.at,y,1,1,TD-0043,รัฐบาลออสเตรีย
lunduniversity.lu.se,y,1,1,TD-0038,Lund University (Sweden)
mytcas.com,n,1,1,TD-0303,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม
od.globaluni.ru,y,1,1,TD-0196,Global Universities Association (Russia)
polimi.it,y,1,1,TD-0044,Politecnico di Milano (Italy)
princess-it.org,y,1,1,TD-0301,มหาวิทยาลัยเทคโนโลยีและการออกแบบแห่งสิงคโปร์
sciencespo.fr,y,1,1,TD-0026,Sciences Po (France)
searca.org,y,1,1,TD-0199,SEAMEO SEARCA
thailande.campusfrance.org,y,1,1,TD-0306,รัฐบาลฝรั่งเศส
unibo.it,y,1,1,TD-0051,University of Bologna (Italy)
universiteitleiden.nl,y,1,1,TD-0036,Leiden University (Netherlands)
uu.se,y,1,1,TD-0057,Uppsala University (Sweden)
uwc.org,y,1,1,TD-0049,UWC International / Thailand National Committee
nanmee.com,y,5,0,TD-0013,มูลนิธิตั้งเซ็กกิม | บริษัท นานมี จำกัด | มูลนิธิตั้งเซ็กกิม (บริษัท นานมี)
campusfrance.org,y,1,0,TD-0126,French Ministry for Europe & Foreign Affairs
docs.google.com,n,1,0,TD-0294,มูลนิธิวัฒนธรรมอิสลามเพื่อการศึกษาและพัฒนา (FICED)
dsu.toscana.it,y,1,0,TD-1589,หน่วยงานสิทธิการศึกษาระดับอุดมศึกษาแคว้นทัสคานี (DSU Toscana)
epfl.ch,y,1,0,TD-0024,EPFL (Switzerland)
facebook.com,n,1,0,TD-1588,มูลนิธิหยดน้ำ
gatescambridge.org,y,1,0,TD-0028,Gates Foundation / University of Cambridge
lomhaijai.org,y,1,0,TD-0011,มูลนิธิลมหายใจไร้มลทิน
pao.ssk.in.th,y,1,0,TD-0284,องค์การบริหารส่วนจังหวัดศรีสะเกษ (อบจ.ศรีสะเกษ)
regist.yesthailand.info,y,1,0,TD-0462,โครงการนักเรียนแลกเปลี่ยน YES
scholarship.tiscofoundation.org,y,1,0,TD-0505,มูลนิธิทิสโก้ เพื่อการกุศล
stfhome.com,y,1,0,TD-0009,มูลนิธิศึกษาวิจัยและพัฒนาเพื่อสังคมวิทยาศาสตร์และเทคโนโลยี
studyinnl.org,y,1,0,TD-0006,Dutch Ministry of Education + universities
ualberta.ca,y,1,0,TD-0050,University of Alberta (Canada)
uwaterloo.ca,y,1,0,TD-0056,University of Waterloo (Canada)
