scholarship_id,new_source_url,funder,scholarship_name_th,scholarship_name_en,award_value_tier,verification_status,funder_type,level,current_source_url,current_application_url
TD-0300,,มหาวิทยาลัยแห่งชาติออสเตรเลีย,,Australian Government Research Training Program (RTP) — ANU,full_ride,verified,International (open to Thais),,https://study-d.com/anu-scholarship/,https://study-d.com/anu-scholarship/
TD-0308,,สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี (พสวท.),,PSST (DPST) Path to Excellence Program 2570,full_ride,verified,Thai Government / Royal,High school,https://u-hit.net/scholarship-2/,https://u-hit.net/scholarship-2/
TD-0309,,ทุนในพระอุปถัมภ์ฯ,,Princess Sirivannavari Arts Scholarship 2569,full_tuition,verified,Thai Government / Royal,Undergraduate,https://u-hit.net/scholarship-2/,https://u-hit.net/scholarship-2/
TD-0004,,สำนักจุฬาราชมนตรี,ทุนการศึกษาจุฬาราชมนตรี ร่วมกับกองทุนเอ็มเอฟซี อิสลามิก ฟันด์,Chularajmontri + MFC Islamic Fund Scholarship 2569,medium,verified,Thai Government / Royal,Undergraduate,https://www.eduzones.com/2026/07/17/mif/,https://www.eduzones.com/2026/07/17/mif/
TD-0234,,กองทุนเปิดเอ็มเอฟซี อิสลามิก ฟันด์ ร่วมกับสำนักจุฬาราชมนตรี,,Chularatchamontri – MFC Islamic Fund Scholarship 2569,medium,verified,Corporate / Bank / Foundation,Undergraduate,https://www.eduzones.com/2026/07/17/mif/,https://www.eduzones.com/2026/07/17/mif/
TD-0243,,กองทุนเปิดเอ็มเอฟซี อิสลามิก ฟันด์ ร่วมกับสำนักจุฬาราชมนตรี,,Chularatchamontri x MFC Islamic Fund Scholarship 2569,medium,verified,Corporate / Bank / Foundation,,https://www.eduzones.com/2026/07/17/mif/,https://www.eduzones.com/2026/07/17/mif/
TD-0307,,สำนักจุฬาราชมนตรี / กองทุนเอ็มเอฟซี อิสลามิก ฟันด์,,Chularatchamontri – MFC Islamic Fund Scholarship 2569,medium,verified,Corporate / Bank / Foundation,Undergraduate,https://u-hit.net/scholarship-2/,https://u-hit.net/scholarship-2/
TD-0214,,มูลนิธิคุณแม่จินตนา ธนาลงกรณ์,,Khunmae Jintana Thanalongkorn Foundation Scholarship 2569,,verified,Corporate / Bank / Foundation,Multiple,https://study-d.com/scholarship-79/,https://study-d.com/scholarship-79/
TD-0289,,สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (อว.),,Princess Sirivannavari Arts Scholarship 2569,,verified,Thai Government / Royal,Undergraduate,https://gooduniversity.net/scholarship-76/,https://gooduniversity.net/scholarship-76/
TD-0710,,African Development Bank Group (AfDB),,African Development Bank-Japan Africa Dream Scholarship (AfDB-JADS) 2027,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/african-development-bank-japan-africa-dream-scholarship-afdb-jads-2027,https://www.scholarshiptab.com/scholarships/african-development-bank-japan-africa-dream-scholarship-afdb-jads-2027
TD-0724,,University of Exeter,,A.S. Hornby Educational Trust Scholarship 2027-2028 at University of Exeter,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/a-s-hornby-educational-trust-scholarship-2027-2028-at-university-of-exeter,https://www.scholarshiptab.com/scholarships/a-s-hornby-educational-trust-scholarship-2027-2028-at-university-of-exeter
TD-0752,,University of Oxford,,Weidenfeld-Hoffmann Scholarships and Leadership Programme 2027 at University of Oxford,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/weidenfeld-hoffmann-scholarships-and-leadership-programme-2027-at-university-of-oxford,https://www.scholarshiptab.com/scholarships/weidenfeld-hoffmann-scholarships-and-leadership-programme-2027-at-university-of-oxford
TD-0848,,MasterCard Foundation,,Mastercard Foundation AfOx Graduate Scholarships 2027,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/mastercard-foundation-afox-graduate-scholarships-2026-2027,https://www.scholarshiptab.com/scholarships/mastercard-foundation-afox-graduate-scholarships-2026-2027
